model,kld
/fixedlr/bn/exponential/adversarial/deep-1/es/0/intgrad,1.3268630336672966
/fixedlr/bn/exponential/adversarial/deep-1/es/0/saliency,1.3294118014316927
/fixedlr/bn/exponential/adversarial/deep-1/es/0/smoothgrad,1.3607033386180996
/fixedlr/bn/exponential/adversarial/deep-1/es/1/intgrad,2.1130415314034043
/fixedlr/bn/exponential/adversarial/deep-1/es/1/saliency,2.2541586954725448
/fixedlr/bn/exponential/adversarial/deep-1/es/1/smoothgrad,2.456658285217641
/fixedlr/bn/exponential/adversarial/deep-1/es/2/intgrad,3.044103118054201
/fixedlr/bn/exponential/adversarial/deep-1/es/2/saliency,3.0012737860637846
/fixedlr/bn/exponential/adversarial/deep-1/es/2/smoothgrad,3.02102634823126
/fixedlr/bn/exponential/adversarial/deep-1/es/3/intgrad,2.230891199121147
/fixedlr/bn/exponential/adversarial/deep-1/es/3/saliency,3.277889778028661
/fixedlr/bn/exponential/adversarial/deep-1/es/3/smoothgrad,3.3621479201147038
/fixedlr/bn/exponential/adversarial/deep-1/es/4/intgrad,2.5782317617996897
/fixedlr/bn/exponential/adversarial/deep-1/es/4/saliency,2.8844256585846466
/fixedlr/bn/exponential/adversarial/deep-1/es/4/smoothgrad,2.9507951759197355
/fixedlr/bn/exponential/adversarial/deep-1/final/0/intgrad,1.487486821025223
/fixedlr/bn/exponential/adversarial/deep-1/final/0/saliency,1.4742813959490502
/fixedlr/bn/exponential/adversarial/deep-1/final/0/smoothgrad,1.3265615804949493
/fixedlr/bn/exponential/adversarial/deep-1/final/1/intgrad,0.0
/fixedlr/bn/exponential/adversarial/deep-1/final/1/saliency,0.0
/fixedlr/bn/exponential/adversarial/deep-1/final/1/smoothgrad,2.4029741653074552
/fixedlr/bn/exponential/adversarial/deep-1/final/2/intgrad,2.7306300083033936
/fixedlr/bn/exponential/adversarial/deep-1/final/2/saliency,0.0
/fixedlr/bn/exponential/adversarial/deep-1/final/2/smoothgrad,2.9501245883498264
/fixedlr/bn/exponential/adversarial/deep-1/final/3/intgrad,2.7475611651075433
/fixedlr/bn/exponential/adversarial/deep-1/final/3/saliency,0.0
/fixedlr/bn/exponential/adversarial/deep-1/final/3/smoothgrad,3.143751190690031
/fixedlr/bn/exponential/adversarial/deep-1/final/4/intgrad,2.2417215583932495
/fixedlr/bn/exponential/adversarial/deep-1/final/4/saliency,0.0
/fixedlr/bn/exponential/adversarial/deep-1/final/4/smoothgrad,2.9532926090924154
/fixedlr/bn/exponential/adversarial/deep-4/es/0/intgrad,3.414202564774359
/fixedlr/bn/exponential/adversarial/deep-4/es/0/saliency,0.0
